content,TAB,TXT,IMG,HDR,TABs,TXTs,IMGs,HDRs,TAB_N,TXT_N,IMG_N,HDR_N,H_line,V_line,Form,Manuscript,Gallery,Front,FILE,PAGE,Category_ID,Category
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,False,False,False,False,False,CTX194103705,3,1,Form
0.5,0.0,0.52,0.47,0.01,False,True,True,True,0,16,1,1,True,True,False,False,False,False,CTX194300428,1,5,Gallery
0.08,0.0,1.0,0.0,0.0,False,True,False,False,0,3,0,0,False,True,False,False,False,False,CTX194401342,1,9,Mixed
0.31,0.0,0.53,0.47,0.0,False,True,True,False,0,4,1,0,False,True,False,False,False,False,CTX194501522,1,5,Gallery
0.65,1.0,0.0,0.0,0.0,True,True,False,False,1,1,0,0,True,True,True,False,False,False,CTX194600790,1,1,Form
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX194604301,1,3,Table
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX194604301,10,3,Table
0.0,0.0,0.0,0.0,0.0,False,False,False,False,0,0,0,0,True,True,False,False,False,False,CTX194604301,11,3,Table
0.75,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX194604301,12,5,Gallery
0.89,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX194604301,13,5,Gallery
0.88,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX194604301,14,5,Gallery
0.85,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX194604301,15,5,Gallery
0.76,0.0,0.0,1.0,0.0,False,False,True,False,0,0,1,0,True,True,False,False,True,False,CTX194604301,16,5,Gallery
0.88,0.98,0.02,0.0,0.0,True,True,False,False,1,1,0,0,True,True,True,False,False,False,CTX194604301,17,1,Form
0.87,0.99,0.01,0.0,0.0,True,True,False,False,1,1,0,0,True,True,True,False,False,False,CTX194604301,18,1,Form
