FILE,PAGE,CLASS-1,CLASS-2,CLASS-3,CLASS-4,CLASS-5,SCORE-1,SCORE-2,SCORE-3,SCORE-4,SCORE-5,CERTAIN,TRUE,GUESS
CTX201603571,123,LINE_P,LINE_T,PHOTO_L,LINE_HW,TEXT_T,0.378,0.187,0.159,0.143,0.131,0.00831,LINE_P,1
CTX201603571,142,LINE_P,PHOTO_L,LINE_T,LINE_HW,TEXT_T,0.375,0.185,0.173,0.161,0.105,0.00842,LINE_P,1
CTX193102237,6,DRAW_L,PHOTO,TEXT,LINE_T,TEXT_T,0.339,0.282,0.147,0.122,0.11,0.00857,LINE_T,4
CTX201603571,141,PHOTO_L,TEXT_HW,LINE_HW,LINE_P,TEXT_T,0.382,0.213,0.169,0.12,0.116,0.00948,LINE_P,4
MTX202210018,23,DRAW_L,TEXT_T,TEXT_HW,LINE_T,LINE_HW,0.398,0.204,0.156,0.13,0.112,0.01075,DRAW,0
MTX201891306,2,DRAW,LINE_HW,TEXT_T,LINE_T,DRAW_L,0.386,0.232,0.174,0.113,0.096,0.01094,TEXT,0
CTX201603571,127,TEXT_HW,PHOTO_L,LINE_T,LINE_HW,TEXT_T,0.396,0.204,0.162,0.154,0.085,0.01108,LINE_P,0
CTX199706756,16,PHOTO_L,LINE_P,LINE_T,LINE_HW,TEXT_T,0.401,0.21,0.142,0.139,0.109,0.01117,LINE_T,3
MTX202300556,18,LINE_HW,DRAW,LINE_T,PHOTO,TEXT,0.391,0.207,0.199,0.122,0.082,0.01133,PHOTO,4
MTX202210018,24,DRAW_L,TEXT_HW,TEXT_T,LINE_T,LINE_HW,0.404,0.232,0.131,0.131,0.101,0.01243,DRAW,0
MTX197001050,9,LINE_HW,DRAW_L,LINE_T,DRAW,TEXT,0.362,0.273,0.218,0.085,0.062,0.01279,PHOTO,0
MTX202210023f,56,TEXT_T,DRAW_L,DRAW,LINE_T,TEXT,0.367,0.276,0.227,0.066,0.063,0.01422,PHOTO,0
MTX202210018,25,DRAW_L,TEXT_T,TEXT_HW,LINE_T,LINE_HW,0.431,0.225,0.122,0.115,0.107,0.01524,DRAW,0
MTX197001050,7,DRAW_L,LINE_HW,LINE_T,DRAW,TEXT,0.39,0.302,0.175,0.084,0.049,0.01667,PHOTO,0
MTX202210023f,57,DRAW_L,TEXT_T,LINE_T,DRAW,TEXT,0.378,0.296,0.224,0.051,0.051,0.01714,PHOTO,0
MTX202210023f,54,PHOTO,DRAW_L,DRAW,LINE_T,TEXT,0.412,0.241,0.231,0.071,0.044,0.01765,PHOTO,1
CTX194004617,1,TEXT_T,DRAW_L,LINE_T,TEXT,DRAW,0.399,0.258,0.242,0.065,0.036,0.01793,TEXT,4
CTX199400067B,48,TEXT,LINE_P,DRAW_L,PHOTO,LINE_T,0.463,0.196,0.15,0.096,0.096,0.01863,DRAW,0
MTX202210023f,55,LINE_HW,DRAW_L,DRAW,LINE_T,TEXT,0.431,0.24,0.237,0.046,0.046,0.02074,PHOTO,0
P043_00001_004,10,LINE_HW,DRAW,TEXT_T,LINE_T,DRAW_L,0.471,0.21,0.173,0.075,0.071,0.02134,TEXT_HW,0
MTX202300556,16,LINE_HW,DRAW,PHOTO,LINE_T,TEXT,0.538,0.187,0.108,0.108,0.06,0.03017,PHOTO,3
MTX202300556,24,LINE_HW,DRAW,PHOTO,LINE_T,TEXT,0.545,0.184,0.104,0.1,0.067,0.03121,PHOTO,3
MTX202300556,25,TEXT_T,PHOTO,DRAW,LINE_T,TEXT,0.564,0.155,0.112,0.091,0.077,0.03389,PHOTO,2
MTX202300556,26,LINE_HW,PHOTO,DRAW,LINE_T,TEXT,0.563,0.168,0.116,0.102,0.05,0.03444,PHOTO,2
