DRAW,DRAW_L,LINE_HW,LINE_P,LINE_T,PHOTO,PHOTO_L,TEXT,TEXT_HW,TEXT_P,TEXT_T,FILE,PAGE,PHOTO,DRAW,LINE,TEXT
0.08408408408408409,0.06306306306306306,0.0775178848573344,0.03003003003003003,0.15971935237990284,0.1111111111111111,0.012012012012012012,0.13213213213213212,0.04504504504504504,0.06006006006006006,0.22522522522522523,CTX193102237,5,0.123,0.147,0.267,0.462
0.15015015015015015,0.14114114114114115,0.08108108108108109,0.009009009009009009,0.24624624624624625,0.07807807807807808,0.0,0.12012012012012012,0.024024024024024024,0.08108108108108109,0.06906906906906907,P043_00001_009,1,0.078,0.291,0.336,0.294
0.042042042042042045,0.07207207207207207,0.23423423423423423,0.024024024024024024,0.13813813813813813,0.05405405405405406,0.057057057057057055,0.03003003003003003,0.12912912912912913,0.07207207207207207,0.14714714714714713,CTX199706756,75,0.111,0.114,0.396,0.378
0.2042042042042042,0.06306306306306306,0.036036036036036036,0.012012012012012012,0.2132132132132132,0.03903903903903904,0.003003003003003003,0.3633633633633634,0.03003003003003003,0.003003003003003003,0.03303303303303303,MTX202210023f,54,0.042,0.267,0.261,0.429
0.06006006006006006,0.1111111111111111,0.05258629309895246,0.021021021021021023,0.2537200132073538,0.17717717717717718,0.006006006006006006,0.06906906906906907,0.05105105105105105,0.057057057057057055,0.14114114114114115,CTX195600870,10,0.183,0.171,0.327,0.318
0.27627627627627627,0.04504504504504504,0.07685413698776727,0.006006006006006006,0.16038310024946997,0.036036036036036036,0.0,0.35735735735735735,0.018018018018018018,0.006006006006006006,0.018018018018018018,MTX197001050,7,0.036,0.321,0.243,0.399
0.0990990990990991,0.024024024024024024,0.06662118688844747,0.03903903903903904,0.16160704133978077,0.16816816816816818,0.003003003003003003,0.3183183183183183,0.05405405405405406,0.015015015015015015,0.05105105105105105,MTX202300556,18,0.171,0.123,0.267,0.438
0.042042042042042045,0.08408408408408409,0.33933933933933935,0.03003003003003003,0.17717717717717718,0.03303303303303303,0.05105105105105105,0.03303303303303303,0.0960960960960961,0.024024024024024024,0.09009009009009009,MTX202210018,25,0.084,0.126,0.547,0.243
0.09009009009009009,0.04804804804804805,0.050282450282450285,0.024024024024024024,0.15692475692475694,0.09009009009009009,0.003003003003003003,0.45045045045045046,0.03903903903903904,0.015015015015015015,0.03303303303303303,MTX202300556,16,0.093,0.138,0.231,0.538
0.23123123123123124,0.07207207207207207,0.05283011296374325,0.02702702702702703,0.18440712427349398,0.04804804804804805,0.0,0.3063063063063063,0.015015015015015015,0.018018018018018018,0.04504504504504504,MTX197001050,9,0.048,0.303,0.264,0.384
0.08408408408408409,0.03903903903903904,0.05593931495824053,0.024024024024024024,0.1542708952519697,0.08708708708708708,0.0,0.45645645645645644,0.02702702702702703,0.021021021021021023,0.05105105105105105,MTX202300556,24,0.087,0.123,0.234,0.556
